166,-14844,1380,-2496,2 
167,-16064,1572,-3728,2 
168,-16664,1080,-4712,2 
169,-17464,472,-4880,2 
170,-17676,-492,-4568,2 
171,-17764,-1036,-3604,2 
172,-17996,-1580,-2708,2 
173,-16332,-2492,2604,2 
174,-12944,-700,4472,2 
175,-14616,-2728,16124,2 
176,-19376,-3280,7168,2 
177,-20576,-2184,6456,2 
178,-17572,72,2144,2 
179,-13844,-1752,-3056,2 
180,-16500,-2276,-3816,2 
181,-17652,-2280,-3712,2 
182,-17276,-1920,-2380,2 
183,-16784,-1084,-1056,2 
184,-16376,-1176,1332,2 
185,-13388,-1428,512,2 
186,-14040,-1212,1348,2 
187,-14068,-1348,1004,2 
188,-13348,-1640,704,2 
189,-13500,-1612,240,2 
190,-13896,-1568,-216,2 
191,-14372,-1508,-444,2 
192,-14668,-1444,-560,2 
193,-14724,-1588,-788,2 
194,-14936,-1652,-1060,2 
195,-15468,-1716,-1356,2 
196,-15984,-1676,-1548,2 
197,-16256,-1704,-1540,2 
198,-16460,-1828,-1308,2 
199,-16356,-1668,-916,2 
200,-14508,-1460,1908,2 
201,-13388,-1924,-952,2 
202,-13976,-1492,56,2 
203,-18992,-4204,1432,2 
204,-22888,-19124,10564,2 
205,-27780,480,5204,2 
206,-28320,-716,540,2 
207,-20848,-2052,1976,2 
208,-17584,-2576,-4260,2 
209,-16788,-2172,-6352,2 
210,-14844,-2156,-3128,2 
211,-11200,-2020,-72,2 
212,-11776,-1580,1508,2 
213,-12804,-1344,2600,2 
214,-14416,-2040,2468,2 
215,-15268,-2072,576,2 
216,-16348,-2372,-288,2 
217,-17440,-2792,-1288,2 
218,-18172,-2828,-1428,2 
219,-17864,-3104,-1248,2 
220,-16860,-2616,-356,2 
221,-15460,-2408,308,2 
222,-14792,-2676,200,2 
223,-14168,-2420,100,2 
224,-13756,-2488,-20,2 
225,-13360,-2788,-1272,2 
226,-13280,-2548,-1840,2 
227,-13860,-2580,-1592,2 
228,-15080,-3004,-1728,2 
229,-16352,-3144,-1616,2 
230,-16924,-2972,-852,2 
231,-16624,-2688,-500,2 
232,-15596,-2248,-12,2 
233,-14792,-2184,100,2 
234,-14704,-2140,-248,2 
235,-14776,-2120,-148,2 
236,-15256,-2232,-160,2 
237,-15612,-2092,-124,2 
238,-15880,-2132,-112,2 
239,-15900,-2204,-292,2 
240,-16140,-2064,-440,2 
241,-16152,-2472,-464,2 
242,-15732,-2396,-688,2 
